name,city_name,latitude,longitude,estimated_cost,opening_time,closing_time,closed_days
Musée du papillon,Paris,48.8651689,2.4076338,15,09:30,18:30,Monday
Marché aux Timbres,Paris,48.8687721,2.3144686,5,09:30,18:30,Monday
Dassault Super Mystère B2,Lyon,45.8503899,4.7876931,5,09:30,18:30,Monday
Dassault Mirage III C,Lyon,45.8553852,4.7872274,5,09:30,18:30,Monday
Dassault Mirage F1 C,Lyon,45.8541256,4.7856027,5,09:30,18:30,Monday
Espace culturel du christianisme à Lyon,Lyon,45.7600362,4.8231111,15,09:30,18:30,Monday
old Toulouse-Lautrec's studio,Paris,48.887505,2.3332331,5,09:30,18:30,Monday
Theo and Jo (Van Gogh bro),Paris,48.8802266,2.3337623,5,09:30,18:30,Monday
Appartement de Ernest Hemingway,Paris,48.8448459,2.3495962,5,09:30,18:30,Monday
Résidence Rollin,Paris,48.8448083,2.350314,5,09:30,18:30,Monday
Entre'Vue,Lyon,45.7840258,4.7359961,15,09:30,18:30,Monday
Musée des Moulages,Lyon,45.7515932,4.8543123,15,09:30,18:30,Monday
Rue Mouffetard,Paris,48.8398068,2.3498169,5,09:30,18:30,Monday
One Hour,Paris,48.8558602,2.3883293,5,09:30,18:30,Monday
Le paradis des enfants,Paris,48.8323777,2.3253244,5,09:30,18:30,Monday
Foire du Trône,Paris,48.8318631,2.4044439,60,09:30,18:30,Monday
Barque du bac à traille,Lyon,45.6428452,4.8150265,5,09:30,18:30,Monday
PILI RATP,Paris,48.8617098,2.3148081,5,09:30,18:30,Monday
Cité de l'Économie,Paris,48.8818908,2.3106965,15,09:30,18:30,Monday
Musée des Hospices Civils de Lyon,Lyon,45.7608407,4.8315116,15,09:30,18:30,Monday
Maillot,Paris,48.8773674,2.2775542,5,09:30,18:30,Monday
Sablons,Paris,48.878026,2.2687544,5,09:30,18:30,Monday
Centre Kapla Animation,Lyon,45.7481001,4.840829,60,09:30,18:30,Monday
Le Musée du Fumeur,Paris,48.8586455,2.382222,15,09:30,18:30,Monday
Cité Internationale de la Gastronomie de Lyon,Lyon,45.7596898,4.8362144,15,09:30,18:30,Monday
History Group Store,Paris,48.8579648,2.2993451,5,09:30,18:30,Monday
Musco,Lyon,45.8144541,4.7725724,15,09:30,18:30,Monday
Musée de la Photographie Saint-Bonnet-de-Mure,Lyon,45.689911,5.0289877,15,09:30,18:30,Monday
Kid's Galaxy,Lyon,45.7000671,5.0152373,60,09:30,18:30,Monday
Musée du flipper,Paris,48.8973362,2.3467198,15,09:30,18:30,Monday
Gîte d'enfant de la Tuilerie,Lyon,45.793412,4.4817947,5,09:30,18:30,Monday
Musée de la Magie,Paris,48.8531207,2.361167,15,09:30,18:30,Monday
ComhiC eBike Segway Tour,Lyon,45.7640438,4.8288457,5,09:30,18:30,Monday
Espace Muséal de Gandil,Lyon,45.7334838,5.0024745,15,09:30,18:30,Monday
Mundolingua,Paris,48.8501854,2.3346494,15,09:30,18:30,Monday
Little Villette,Paris,48.8906392,2.3898159,15,09:30,18:30,Monday
Exalto,Lyon,45.768011,4.9794671,60,09:30,18:30,Monday
Maison de pays,Lyon,45.6185926,4.6710147,15,09:30,18:30,Monday
Musée de l'illusion,Paris,48.863307,2.3499796,15,09:30,18:30,Monday
cour du Bon conseil,Paris,48.8488403,2.3080453,0,09:30,18:30,Monday
Soierie Vivante,Lyon,45.7758106,4.8365935,15,09:30,18:30,Monday
Soierie Vivante,Lyon,45.7758106,4.8365935,15,09:30,18:30,Monday
Soierie Vivante,Lyon,45.7802088,4.8370503,15,09:30,18:30,Monday
Soierie Vivante,Lyon,45.7802088,4.8370503,15,09:30,18:30,Monday
Musée d'art religieux de Fourvière,Lyon,45.7618667,4.8226203,15,09:30,18:30,Monday
Rivoli 59,Paris,48.8592267,2.3456573,5,09:30,18:30,Monday
Parc du Grand Clos,Lyon,45.6137861,4.813317,0,09:30,18:30,Monday
Musée de l'Illusion,Lyon,45.7590059,4.8361266,15,09:30,18:30,Monday
institut culturel du judaïsme,Lyon,45.7518115,4.8511261,15,09:30,18:30,Monday
Musée Paul Buyer,Lyon,45.6611358,4.6323444,15,09:30,18:30,Monday
Fondation Azzedine Alaïa,Paris,48.8575225,2.3550725,15,09:30,18:30,Monday
Magic mirror,Paris,48.8327962,2.3881581,5,09:30,18:30,Monday
Traboule 27 quai Saint Antoine - 58 rue Mercière,Lyon,45.7625023,4.8325477,5,09:30,18:30,Monday
The Walled Off Hotel,Paris,48.8746674,2.3416609,15,09:30,18:30,Monday
Musée Banksy,Paris,48.8746285,2.3417156,15,09:30,18:30,Monday
Europa Expérience,Paris,48.8707339,2.3258194,15,09:30,18:30,Monday
La Bonne Maison,Lyon,45.7415011,4.809481,0,09:30,18:30,Monday
Tomaselli Collection,Lyon,45.7781019,4.8005576,15,09:30,18:30,Monday
Musée des soieries Brochier,Lyon,45.7597657,4.8372966,15,09:30,18:30,Monday
Jacques Offenbach,Paris,48.8894063,2.3290814,5,09:30,18:30,Monday
Pendule de Foucault,Paris,48.8461929,2.3461361,5,09:30,18:30,Monday
Pendule de Foucault,Paris,48.8461929,2.3461361,5,09:30,18:30,Monday
Pendule de Foucault,Paris,48.8659656,2.3550493,5,09:30,18:30,Monday
Pendule de Foucault,Paris,48.8659656,2.3550493,5,09:30,18:30,Monday
Wine and Ride Condrieu,Lyon,45.4629549,4.7788552,5,09:30,18:30,Monday
square Elisa Lemonier,Lyon,45.749692,4.8605579,0,09:30,18:30,Monday
Jardin du Presbytère,Lyon,45.8143117,4.8179248,0,09:30,18:30,Monday
Grand Palais immersif,Paris,48.8512072,2.3704445,15,09:30,18:30,Monday
Jardin des papillons,Paris,48.8396348,2.4425604,5,09:30,18:30,Monday
Pirogue Monoxyle du Parc de la Tête d'Or,Lyon,45.7784854,4.847031,5,09:30,18:30,Monday
Rex Studio,Paris,48.8705976,2.3472734,5,09:30,18:30,Monday
Maison Gainsbourg,Paris,48.8574457,2.3311429,15,09:30,18:30,Monday
Jungle Parc,Lyon,45.6465273,4.9078239,60,09:30,18:30,Monday
Maison Traditionnelle Japonaise,Paris,48.8664875,2.2940497,5,09:30,18:30,Monday
Plateau d'Yzeron,Lyon,45.7040426,4.5792132,60,09:30,18:30,Monday
Paradox Museum,Paris,48.8712146,2.3344291,15,09:30,18:30,Monday
Musée des égouts,Paris,48.8626334,2.3025814,15,09:30,18:30,Monday
Park Events,Lyon,45.7157491,4.8592555,60,00:00,23:59,
Musée social,Paris,48.8578592,2.321811,15,09:30,18:30,Monday
Maison Poincaré,Paris,48.8441489,2.3439751,15,09:30,18:30,Monday
Musée Curie,Paris,48.8442383,2.3447906,15,09:30,18:30,Monday
Musée des géomètres-experts de la région Auvergne-Rhône-Alpes,Lyon,45.7428824,4.8213275,15,09:30,18:30,Monday
Tombeau de Napoleon Ier,Paris,48.855027,2.3125378,5,09:30,18:30,Monday
Animaponey,Paris,48.8783161,2.3098907,5,09:30,18:30,Monday
Voiture RATP,Paris,48.8428105,2.3720181,5,09:30,18:30,Monday
Ancienne Légation de Lituanie (1925-40),Paris,48.8827946,2.3111548,5,09:30,18:30,Monday
